순서,질문,답변
1,안녕하세요/방가방가/반가워요/반가워/ㅎㅇ/안녕/하이/hi/Hi/HI/인사/,안뇽!! 박갈배야!!! 메뉴라고 적으며는 자세한 설명이 나와!!!
2,그래 메뉴를 알려줘/메뉴/음식/ㅁㄴ/음료/칵테일 종류/칵테일/ㅋㅌㅇ/ㅇㅅ/먹을거/먹을꺼/주문/주문 도와줘/주문 할게/주문 할거야,"메뉴 설명을 도와줄겡
7가~지 음료와 2가~지 존재해 헤헿
1~7까지 번호를 적어 질문하면!! 메뉴를 설명해줄게!!"
3,저 바텐더에게 관심이 있어요!/바텐더/직원,저희 바텐더에게 관심이 있으시다고요? 어떤 직원인진 모르겠지만 알려드리기 어려워요!
4,나 교장인데/나 대통령인데,만나서 반가워요!. 김 기자 호자 교장선생님!
5,음료 추천해줘/추천/추천 음료/추천 칵테일/추천하는 음료/추천하는 칵테일/음료 추천해줘/칵테일 추천해줘,"당연히 제일 맛있는건 박갈배죠!
당연한 소리를 하시네요!.
박카스에 갈린 제 친구를 생생하게 느끼어 보세요!!"
6,박갈배좀 알려줘,내가 너를 위해 맛있는 배를 손수 갈아왔엉 마셔봐!
7,How old are you?/몇살이야/나이/연세/허현서,우으 믹삐 박갈배 이제 팔일 머거서요 ㅇㅅㅇ
8,핫바 맛있는지 알려줘,핫바는 뜨거운 바입니다. 여기 오셔서 바에 앉아계시면 뜨겁게 해드릴게요! 
9,가격 알려줘,전~부 다 1000원이야!!!
10,사랑해/좋아해/I LOVE YOU/아이러브유,저는 아닌데요? 너 누군데
11,도와줘,뭘 도와주면 될까??? (주문/메뉴/설명/요청등)
12,이거 누가 만들었어?,으앙... 갈배도 마니마니 사랑해!! 너랑 함께라서 안죤 조~아
13,살려줘요…,알아서 생존하세요
14,파워박사인지 슈퍼맨인지 자꾸 맥여요,조수인쌤이 이상한 자크 진액물 자꾸맥여서 자크 부활할것같음
15,나 돈없는데 공짜로 먹을수있는 방법없어?/돈 없어/나 거지야/돈/이벤트/이벤트가 있어?,만약 바텐더가 무작위로 제작한 음료의 재료를 맞추면 해당 음료를 무료로 드립니다 ! (틀릴시 우리의 사랑을 드려요 500만원)
16,애니 추천좀,4반의 허현서가 추천해줄 예정입니다. 직접 물어보세요 ㅎㅎ
17,나와봐,시룬데용 ㅎㅎ
18,이름이 뭐야/이름/넌 뭐야/너는?/뭔데,저는 박갈배 입니다 !
19,ㅗ/fuck you/fuck/bitch/시발/꺼져/껒여/엿/병신/장애인/병신색히야/병신새끼야/새끼/기계주제/멍청한년/ㅄ/,그런 말을 하시면 너무 슬퍼요!
20,그 외,저는 잘 모르겠습니다 ! 직접 바텐더에게 말해주세요 ! 
21,감사합니다/감사해요/ㄳ/감사/고마워,그렇게 말하다니요! 정말 높은 수준의 대화가 기대되요!
22,1/1번/하나/일/파워박갈배,박카스에 갈린 친구를 생생하게 느끼어 보세요!!
23,2/2번/둘/이/얼박사/Dr.ice/Dr.ICE,"꽁꽁 얼어붙은 박사님을 단돈 1,000원에 즐기어 보세요 히히"
24,3/3번/삼/셋/포키스/루키스/아키스/포루아키스/포루아,"태초의 삼총사 그이름하야 포! 루! 아! 그들이 펼치는 러브스토리를 즐기어보세요 , 키스키스"
25,4/4번/넷/사/갈이드/가이드,우웅? 갈배는 갈배 사이다 마셔본적 없어... 맛이 어떨지 대박 모르겟서... 근데 갈배랑 사이다 섞이면 믹상콤할거같은디...
26,5/5번/오/다섯/파워박사/Dr.power/Dr.Power,초록색의 정체불명 외계인의 블록버스터 우주 대탐험 그의 여정을 지켜봐주세요~~~~
27,6/6번/핫바/순한맛/매운맛/핫바(순한맛/매운맛)/여섯/육,핫바는 뜨거운 바입니다. 헤헤 맛시겠다. 우헤헿 ^^7
28,7/7번/칠/일곱/소시지/소세지,"첨단 테크놀로지 공장에서 만든 배박사표 소시지 단돈 1000원으로 즐기어 보세요?
(소시지에 얽힌 슬픈 이야기를 들려줘) 라고 말하면 박갈배씨의 일기를 훔치어 볼 수 있습니다."
29,소시지에 얽힌 슬픈 이야기를 들려줘/소시지 이야기,"24년 10월 어느 농장에서 태어난 작은 아기 돼지 소시지핑은 행복하게 살던와중 농장주 박갈배씨가 와서 작게 속삭이며 말했어요.
소시지핑아 내일부터 너는 바다를 건너고 대지를 가르며 어는 첨단 테크놀로지 공장으로 가게될거야 두근두근거리지 아니하니?
그러자 소시지핑은 말했어요""그치만 난 갈배가 좋은걸?"" 그렇게 박갈배와 소시지핑은 마지막 밤을 보내고 이별하게 됩니다. 
공장에 도착한 소시지핑은 다른 친구들을 만나었어요. 그러자 배박사아저씨는 그들을 컨테이너로 인도 하였어요. 소시지핑은 무서웠지만 금새 졸려오기 시작
하였어요. 소시지핑아 거기서는 행복하렴.... -2024년 10월 10일 올림-"
30,히든키워드 알려줘/히든키워드/키워드,응! 직원에게 물어봐!
31,얼음을 음료에 추가할 수 있어?/얼음 추가/얼음 더 넣어줘/얼음,얼음추가는 불가능해... ㅠㅡㅠ
32,정상화/신창섭/대창섭/바로 리부트 정상화/리부트 정상화/메이플/메이플 스토리,https://youtu.be/cYRkZmBuDqI?si=yDoSAsp85_w9MmFi
33,달콤한거/달콤한 음료/달콤한 칵테일/달달한거,Dr.ice와 가이드가 있을거 같은데 직접 마셔보는게 좋겠죠!?
34,카페인/음료에 카페인/칵테일에 카페인,카페인은 일절 사용하지 않았어요~ !
35,할인/음료 할인/칵테일 할인/할인 요청/할인 하고 싶어요/할인 받고 싶어요/좀 깎아주세요,네! 안되요!!
36,,
,,
